wheel r v,wheel f v,accel v,brake lever,brake pid,braking,% slip a,% slip f
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,7,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
0,65,0,90,90,0,0,100
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,65,4,90,90,0,0,93.84615385
4,0,4,90,90,0,0,0
4,0,4,90,90,0,0,0
4,0,4,90,90,0,0,0
4,0,4,90,90,0,0,0
4,0,4,90,90,0,0,0
